time,Pos_x,Pos_y,GT_x,GT_y,GT_alpha,GT_Kr,GT_v,ROSE_x,ROSE_y,ROSE_alpha,ROSE_Kr,ROSE_v,EKF_x,EKF_y,EKF_alpha,EKF_Kr,EKF_v
0.1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.1,0.0,0.1,0.0,0.0,1,0.0,0.0013788069113563057,0.0,0.0,2.115805063826795e-05,0.0,0.0011625147394169583,0.0,0.0,1.7614601333569332e-05
0.3,0.0,0.2,0.0,0.2,0.0,0.0,1,0.0,0.004333966396571751,0.0,0.0,0.00012791386478520672,0.0,0.003461130624304601,0.0,0.0,9.893582825195668e-05
0.4,0.0,0.3,0.0,0.3,0.0,0.0,1,0.0,0.009093494712500245,0.0,0.0,0.0004239270764362881,0.0,0.0068902643232191686,0.0,0.0,0.00030587031825094423
0.5,0.0,0.4,0.0,0.4,0.0,0.0,1,0.0,0.015924946011743317,0.0,0.0,0.0010600533928995072,0.0,0.011469941677894072,0.0,0.0,0.0007154673293984402
0.6000000000000001,0.0,0.5,0.0,0.5,0.0,0.0,1,0.0,0.025144703425180562,0.0,0.0,0.002241410011424274,0.0,0.017250154749513545,0.0,0.0,0.001419164114320208
0.7000000000000001,0.0,0.6,0.0,0.6,0.0,0.0,1,0.0,0.03712632957003984,0.0,0.0,0.004232193650004861,0.0,0.024314742537709988,0.0,0.0,0.002521892884023608
0.8,0.0,0.7,0.0,0.7,0.0,0.0,1,0.0,0.05230637406815153,0.0,0.0,0.007356559794538203,0.0,0.03278470789935547,0.0,0.0,0.0041409892894101385
0.9,0.0,0.7999999999999999,0.0,0.7999999999999999,0.0,0.0,1,0.0,0.07118571941927876,0.0,0.0,0.011993718786239192,0.0,0.042820850660660804,0.0,0.0,0.006404840882548626
1.0,0.0,0.8999999999999999,0.0,0.8999999999999999,0.0,0.0,1,0.0,0.09432453831949691,0.0,0.0,0.018565651669098533,0.0,0.05462556731365181,0.0,0.0,0.00945121618244191
