time Pos_x Pos_y GT_x GT_y GT_alpha GT_Kr GT_v
0.1 0.090803709233541 -0.0121011226142964 0 0 0.3 0 0
0.2 -0.0841243039533234 -0.121182449460967 0 0 0.3 0 0
0.3 -0.00188187116203662 -0.0207671066622183 0 0 0.3 0 0
0.4 0.0583109661891529 -0.0223104440547402 0 0 0.3 0 0
0.5 0.0527958996284453 0.0286722863529386 0 0 0.3 0 0
0.6 0.0897118618284209 0.0444069521481682 0 0 0.3 0 0
0.7 -0.0797599516108347 0.0196644113335288 0 0 0.3 0 0
0.8 -0.132330228988085 -0.0690220152547679 0 0 0.3 0 0
0.9 -0.0409219311521712 -0.0596823534587789 0 0 0.3 0 0
1 0.0216524592212512 -0.0822847811745983 0 0 0.3 0 0
1.1 0.154477730360731 0.048421042843999 0 0 0.3 0 0
1.2 0.0622797331384699 0.083277992882579 0 0 0.3 0 0
1.3 -0.210045074713689 -0.0340022706959239 0 0 0.3 0 0
1.4 0.00208681266763067 0.0426451494984738 0 0 0.3 0 0
1.5 0.133266363787449 0.0257804060101427 0 0 0.3 0 0
1.6 0.00874768059622806 0.0925063778243756 0 0 0.3 0 0
1.7 0.0189038619549952 -0.0158665744001208 0 0 0.3 0 0
1.8 -0.0684928964668393 -0.1218774238535 0 0 0.3 0 0
1.9 -0.039512340098369 -0.0417861934625469 0 0 0.3 0 0
2 -0.0345602968015083 0.00292213249745659 0 0 0.3 0 0
2.1 0.0786795886230468 -0.0488082800290734 0 0 0.3 0 0
2.2 -0.100081147544691 -0.00573881889775354 0 0 0.3 0 0
2.3 -0.0581529332356036 0.117778566194858 0 0 0.3 0 0
2.4 0.0762786642121355 0.183847644809291 0 0 0.3 0 0
2.5 -0.0666533193839872 0.044583423481767 0 0 0.3 0 0
2.6 0.0333333326800323 -0.0390486833314289 0 0 0.3 0 0
2.7 0.068858643340476 -0.014072693764136 0 0 0.3 0 0
2.8 -0.0656029973393523 0.0194104145064792 0 0 0.3 0 0
2.9 -0.0607676839583567 -0.0502433842286799 0 0 0.3 0 0
3 -0.0104774416593089 -0.00139628102953907 0 0 0.3 0 0
3.1 -0.0515944837273057 -0.106857600235646 0 0 0.3 0 0
3.2 0.0247111543130631 0.100830243091288 0 0 0.3 0 0
3.3 0.021008278905708 -0.0696167104505425 0 0 0.3 0 0
3.4 0.0634388592019874 -0.0205304982966695 0 0 0.3 0 0
3.5 0.109211786091398 0.023074597571229 0 0 0.3 0 0
3.6 -0.098543015410961 -0.0391212180054591 0 0 0.3 0 0
3.7 0.100188919304468 0.0875113380967295 0 0 0.3 0 0
3.8 -0.0433750878938 0.0165528604640485 0 0 0.3 0 0
3.9 -0.0292110215779854 -0.0998946282584065 0 0 0.3 0 0
4 -0.115209061921668 0.135692794386559 0 0 0.3 0 0
4.1 0.017624378860127 0.0456537536493077 0 0 0.3 0 0
4.2 -0.0680965504188304 0.0892744229473259 0 0 0.3 0 0
4.3 -0.0184861916998012 -0.0630177029451105 0 0 0.3 0 0
4.4 -0.110860921214686 -0.0394291115749937 0 0 0.3 0 0
4.5 -0.000597254162527449 0.0833726181068327 0 0 0.3 0 0
4.6 -0.0370655914251601 -0.104373813000395 0 0 0.3 0 0
4.7 0.0418461343765324 -0.0240823233503564 0 0 0.3 0 0
4.8 0.00151734788451676 0.0585199139542385 0 0 0.3 0 0
4.9 -0.00492910404999142 0.0285711059114686 0 0 0.3 0 0
5 -0.0148009122039737 0.0712823164425363 0 0 0.3 0 0
5.1 -0.026556639183399 -0.203280883588414 0 0 0.3 0 0
5.2 -0.0043702300959368 -0.0209624873499505 0 0 0.3 0 0
5.3 0.129850428212215 0.123604218416058 0 0 0.3 0 0
5.4 -0.0304501722714864 0.120399351131393 0 0 0.3 0 0
5.5 0.0705976091173489 0.0640263769646045 0 0 0.3 0 0
5.6 0.00782096432090552 -0.0269423139178333 0 0 0.3 0 0
5.7 -0.0256306232824069 0.0303927887505023 0 0 0.3 0 0
5.8 0.0385377729663513 0.027185600289265 0 0 0.3 0 0
5.9 0.0396582761165408 -0.0643542740694276 0 0 0.3 0 0
6 -0.0818100708125252 -0.036807040161235 0 0 0.3 0 0
6.1 -0.0567696625185058 0.0501491954640982 0 0 0.3 0 0
6.2 -0.0578700329978807 0.0408533093063752 0 0 0.3 0 0
6.3 0.120082074266171 -0.0624929997706594 0 0 0.3 0 0
6.4 0.0411315533114317 -0.00360793370703217 0 0 0.3 0 0
6.5 -0.0235557190254334 0.0667895713053488 0 0 0.3 0 0
6.6 0.000989435233337862 -0.0058179057297018 0 0 0.3 0 0
6.7 0.0704644701126584 -0.0112426360879247 0 0 0.3 0 0
6.8 -0.0566300831559053 0.0322837875142475 0 0 0.3 0 0
6.9 0.102921823402198 0.0163845511917911 0 0 0.3 0 0
7 -0.0268947062610847 -0.155227596322699 0 0 0.3 0 0
7.1 0.137667893169946 0.118899784257914 0 0 0.3 0 0
7.2 0.0735482206719473 0.079269640147107 0 0 0.3 0 0
7.3 -0.0563068810569429 0.0170008370273261 0 0 0.3 0 0
7.4 -1.57671960084612e-05 0.083008337281353 0 0 0.3 0 0
7.5 -0.0234059101217651 0.0498344727462353 0 0 0.3 0 0
7.6 0.018591990515661 0.112917346808823 0 0 0.3 0 0
7.7 0.0518451480873309 0.0682612651749899 0 0 0.3 0 0
7.8 0.0607739786003329 -0.00888115116761305 0 0 0.3 0 0
7.9 0.0891997067930169 0.114647031040501 0 0 0.3 0 0
8 -0.0383300348678335 0.06400548777104 0 0 0.3 0 0
8.1 -0.0556934587455951 -0.0741344865443038 0 0 0.3 0 0
8.2 -0.0299433321822518 0.0516312355118168 0 0 0.3 0 0
8.3 0.106853317777617 0.000424766852995633 0 0 0.3 0 0
8.4 -0.0347691284819662 0.0406459531497093 0 0 0.3 0 0
8.5 -0.0263728581542217 -0.00425271271678196 0 0 0.3 0 0
8.6 0.0260787633570534 0.0714839564087841 0 0 0.3 0 0
8.7 0.0385530831710852 -0.0557865635232567 0 0 0.3 0 0
8.8 0.0987499401327727 0.0127317362838028 0 0 0.3 0 0
8.9 0.0535224180716039 -0.0289911204639469 0 0 0.3 0 0
9 -0.0225568367373377 -0.109823534682258 0 0 0.3 0 0
9.1 -0.0113192892394396 0.156637192991452 0 0 0.3 0 0
9.2 0.0254812373373187 0.162535981175845 0 0 0.3 0 0
9.3 0.0298539969497523 0.0012242493048991 0 0 0.3 0 0
9.4 -0.0399792459665743 0.0491891937131078 0 0 0.3 0 0
9.5 -0.0116814377448108 -0.0910413215715077 0 0 0.3 0 0
9.6 0.0307401489564691 0.144321066938178 0 0 0.3 0 0
9.7 0.0144561408441437 -0.00906497821558525 0 0 0.3 0 0
9.8 0.0537545130051736 -0.178382757577689 0 0 0.3 0 0
9.9 -0.0210060775922123 -0.141629425743478 0 0 0.3 0 0
10 -0.185816033013301 0.0503040234637967 0 0 0.3 0 0
10.1 0.000791100020343112 0.00729363369527562 0 0 0.3 0 0.2
10.2 -0.0194331148843317 0.0548586578721828 -0.00591040413322679 0.0191067297825121 0.3 0 0.4
10.3 0.00656553929174781 0.124090881581897 -0.0177312123996804 0.0573201893475364 0.3 0 0.6
10.4 -0.010743955445569 0.104027724504943 -0.0354624247993608 0.114640378695073 0.3 0 0.8
10.5 -0.00195253077985653 0.240806126080074 -0.0591040413322679 0.191067297825121 0.3 0 1
10.6 -0.0820859474997447 0.318003478821477 -0.0886560619984019 0.286600946737682 0.3 0 1.2
10.7 -0.0443605836451394 0.438320153838403 -0.124118486797763 0.401241325432755 0.3 0 1.4
10.8 -0.211058819509061 0.547718712776289 -0.16549131573035 0.534988433910339 0.3 0 1.6
10.9 -0.190013468360108 0.824576972759837 -0.212774548796164 0.687842272170436 0.3 0 1.8
11 -0.232057068311942 0.969387722121668 -0.265968185995206 0.859802840213045 0.3 0 2
11.1 -0.439768169190657 1.0232690801954 -0.325072227327474 1.05087013803817 0.3 0 2
11.2 -0.401119761051823 1.29797634961199 -0.384176268659741 1.24193743586329 0.3 0 2
11.3 -0.450478814522416 1.40359221693103 -0.443280309992009 1.43300473368841 0.3 0 2
11.4 -0.413794208426044 1.71472874999957 -0.502384351324277 1.62407203151353 0.3 0 2
11.5 -0.611692750510293 1.8635143302569 -0.561488392656545 1.81513932933865 0.3 0 2
11.6 -0.613899045506581 2.04003370870126 -0.620592433988813 2.00620662716377 0.3 0 2
