time,Pos_x,Pos_y,GT_x,GT_y,GT_alpha,GT_Kr,GT_v,ROSE_x,ROSE_y,ROSE_alpha,ROSE_Kr,ROSE_v,EKF_x,EKF_y,EKF_alpha,EKF_Kr,EKF_v
0.1,-0.0638751157752209,0.0200915041836176,0.0,0.0,0.3,0.0,2,-0.0638751157752209,0.0200915041836176,0.0,0.0,0.0,-0.0638751157752209,0.0200915041836176,0.0,0.0,0.0
0.2,-0.1386652685748668,0.1738782922190863,-0.0591040413322679,0.1910672978251212,0.3,0.0,2,-0.07671549812177665,0.016673490495954076,0.0,0.0,-0.0013050019753748656,-0.07610920208996877,0.016725324027251322,0.0,0.0,-0.001043288545703831
0.3,-0.1128096183902459,0.4335204944991367,-0.1182080826645358,0.3821345956502424,0.3,0.0,2,-0.04771832260625308,0.02934709581631524,1.8906945246747907e-05,0.0,0.010093076774742143,-0.048945886362569906,0.027847204513721094,1.1278899231528762e-05,0.0,0.007567506590130101
0.4,-0.2595533468737369,0.7182789825046816,-0.1773121239968037,0.5732018934753637,0.3,0.0,2,-0.04844610082205185,0.03365715173846609,1.7234600617370263e-05,3.37582678470819e-11,0.01050405170661617,-0.048960612523742605,0.0309651099822092,8.747612756555248e-06,4.133778533945364e-11,0.008136803187685154
0.5,-0.333222952281153,0.9317671938710644,-0.2364161653290716,0.7642691913004849,0.3,0.0,2,-0.051265377240004434,0.0379483946441009,4.540212707369275e-05,2.401213547962264e-09,0.0082600411784252,-0.0508018206226784,0.033719445599544554,2.0157468272192622e-05,7.480724263788241e-10,0.00694902931316153
0.6000000000000001,-0.3257553700876557,0.9082023130691084,-0.2955202066613395,0.955336489125606,0.3,0.0,2,-0.053611610055509844,0.04220333615095223,7.518178594718632e-05,7.938642995682324e-09,0.005898105391995064,-0.05225052835143426,0.03628315302765822,3.2620014123179706e-05,2.513322815063911e-09,0.005705053493243808
0.7000000000000001,-0.4661687719394922,1.2237279472970133,-0.3546242479936075,1.1464037869507273,0.3,0.0,2,-0.06174449335405998,0.03316632468028066,0.00035391087491555204,8.50937015925849e-08,-0.026353667005070434,-0.05852708331352299,0.029697263234825685,0.00017542596322170072,3.368986839657991e-08,-0.013932741525321955
0.8,-0.361357163040394,1.3349074120943616,-0.4137282893258754,1.3374710847758484,0.3,0.0,2,-0.05502944995534557,0.08697591493274168,0.0007468091267974847,4.6310012180607094e-07,0.06251274196571804,-0.050983042765060875,0.06311782137035199,0.00017300998242082016,1.0015893224690066e-07,0.04015703010790808
0.9,-0.5148427484303366,1.4549342320964744,-0.4728323306581433,1.5285383826009695,0.3,0.0,2,-0.06038504560343732,0.08087178699286682,0.001417905625547896,3.249351485974089e-07,0.025823220557162345,-0.054542981935897156,0.0586040044715408,0.00041590450248907697,1.1992381172035751e-07,0.01981815867259148
1.0,-0.485447329750537,1.7293318242484728,-0.5319363719904112,1.719605680426091,0.3,0.0,2,-0.061235902295121374,0.1562580100255594,-0.00039326481122913546,-6.105144704863049e-07,0.12286304191835135,-0.05218390748073383,0.10521106191428894,-0.0003481535826438747,-2.68157761725048e-07,0.07988864210752401
1.1,-0.6221209770021691,1.8769286550499416,-0.5910404133226791,1.9106729782512124,0.3,0.0,2,-0.06618454983900676,0.15752748650335335,0.0016385945780944837,2.9370743327907064e-06,0.08603890674496897,-0.05461129544765337,0.10632954223686669,0.00018485193498804238,4.135109171431999e-07,0.06295518051812225
1.2000000000000002,-0.5699736873118921,2.120657202487029,-0.650144454654947,2.1017402760763337,0.3,0.0,2,-0.07164904358255775,0.2750378362715954,-0.005864149128588431,-2.333622120591303e-05,0.2181732095442898,-0.054805173619149807,0.18297709478735016,-0.0027564676362632078,-6.5659508038375875e-06,0.14874074410712407
1.3,-0.7768538486773402,2.3104545708590885,-0.7092484959872148,2.292807573901455,0.3,0.0,2,-0.07712770445856068,0.24305590135716157,0.005452301394823706,4.8432889880143416e-05,0.1179866907439031,-0.057270296975284206,0.16056317090101177,0.0006353678165947913,7.730331831078971e-06,0.09389855747879002
1.4,-0.8285974541873995,2.412380216847799,-0.7683525373194827,2.4838748717265764,0.3,0.0,2,-0.08324449125478912,0.19886501900195,0.017601565667435808,0.0001616684165949776,0.013656076124205663,-0.059339825478232515,0.12399340059505326,0.0048874356819800634,3.405497686703008e-05,0.03055985709384769
1.5,-0.8254929164718934,2.66199894523102,-0.8274565786517506,2.6749421695516977,0.3,0.0,2,-0.09243736449718694,0.25013786825535095,0.01651538885553878,0.0001467115138671437,0.04420376651939669,-0.062014057194966936,0.1494189257158851,0.004202004509338835,2.8710884692958077e-05,0.047868332637087285
1.6,-0.7941338813976501,2.9904386643959957,-0.8865606199840185,2.866009467376819,0.3,0.0,2,-0.10632047932582143,0.42434531482896054,0.008495915569377602,2.420356523554016e-05,0.2239278634250306,-0.06687989086820437,0.2735660551171494,-0.0013113209126906743,-2.2509071234728823e-05,0.17265719861216483
1.7000000000000002,-0.971954330209968,3.0731499241782627,-0.9456646613162863,3.0570767652019404,0.3,0.0,2,-0.11651055163931841,0.4359728658683858,0.016539733642269454,0.00016476143703478938,0.16626577003929097,-0.0689383268055405,0.26725340357628075,0.0015469515615578033,1.2804448008622128e-05,0.13767617285484796
1.8,-0.9468906209954224,3.1845081817823475,-1.0047687026485543,3.2481440630270617,0.3,0.0,2,-0.12919510740683318,0.5094504239736801,0.016089270263226485,0.00012738452559454225,0.19184441622578802,-0.07216248505336728,0.30728594446265667,0.0004388335023842115,-7.982347969961465e-06,0.15672241890233043
