time,Pos_x,Pos_y,GT_x,GT_y,GT_alpha,GT_Kr,GT_v
0.1,0.03962413763455051,-0.0060187728698412515,0.0,0.0,0.3,0.0,2
0.2,0.02009456264145327,0.12508466866943113,-0.05910404133226791,0.19106729782512122,0.3,0.0,2
0.30000000000000004,-0.09833049210804747,0.37486629080919054,-0.11820808266453582,0.38213459565024244,0.3,0.0,2
0.4,-0.21962270257729682,0.6498907024100904,-0.17731212399680374,0.5732018934753637,0.3,0.0,2
0.5,-0.17980437408851313,0.672164793415087,-0.23641616532907164,0.7642691913004849,0.3,0.0,2
0.6000000000000001,-0.3232084254816753,0.9730988058025664,-0.29552020666133955,0.9553364891256061,0.3,0.0,2
0.7000000000000001,-0.45083611494501863,1.0672800859987341,-0.3546242479936075,1.1464037869507273,0.3,0.0,2
0.8,-0.3648532392027059,1.3024191083376575,-0.4137282893258754,1.3374710847758484,0.3,0.0,2
0.9,-0.5141436582124488,1.6242180502911596,-0.47283233065814334,1.5285383826009697,0.3,0.0,2
1.0,-0.5617053819426328,1.8826984873679788,-0.5319363719904112,1.719605680426091,0.3,0.0,2
1.1,-0.6038648099044834,2.0058367181286973,-0.5910404133226791,1.9106729782512124,0.3,0.0,2
1.2000000000000002,-0.6872674539334968,2.000629904805013,-0.650144454654947,2.1017402760763337,0.3,0.0,2
1.3,-0.5768493476129835,2.279821089523477,-0.7092484959872148,2.292807573901455,0.3,0.0,2
1.4000000000000001,-0.7322107652412763,2.4935952974936035,-0.7683525373194827,2.4838748717265764,0.3,0.0,2
1.5,-0.8802193945561818,2.57328928483494,-0.8274565786517506,2.6749421695516977,0.3,0.0,2
1.6,-0.8947648932845672,2.805582918283239,-0.8865606199840185,2.866009467376819,0.3,0.0,2
1.7000000000000002,-1.089608876288875,3.1481423020493704,-0.9456646613162863,3.0570767652019404,0.3,0.0,2
1.8,-1.0722032800559629,3.1493115379238015,-1.0047687026485543,3.2481440630270617,0.3,0.0,2
1.9000000000000001,-1.0595210709438891,3.3622867659132236,-1.0638727439808222,3.439211360852183,0.3,0.0,2
2.0,-1.092488548858542,3.5870365877765997,-1.12297678531309,3.6302786586773044,0.3,0.0,2
2.1,-1.2241439159400667,3.8205647192912524,-1.182080826645358,3.8213459565024257,0.3,0.0,2
2.2,-1.270531922169074,3.92438518844574,-1.2411848679776258,4.012413254327547,0.3,0.0,2
2.3000000000000003,-1.249272989284693,4.143340306325405,-1.3002889093098937,4.203480552152668,0.3,0.0,2
2.4000000000000004,-1.3625766599769307,4.431983983213367,-1.3593929506421616,4.39454784997779,0.3,0.0,2
2.5,-1.401321650141392,4.594689186758968,-1.4184969919744295,4.585615147802911,0.3,0.0,2
2.6,-1.4876220573844416,4.941679462440848,-1.4776010333066973,4.776682445628032,0.3,0.0,2
2.7,-1.500572943237298,4.9919785984608485,-1.5367050746389652,4.967749743453154,0.3,0.0,2
2.8000000000000003,-1.6695080635794723,5.071458869007297,-1.595809115971233,5.158817041278275,0.3,0.0,2
2.9000000000000004,-1.589087178764073,5.320706319031578,-1.654913157303501,5.349884339103396,0.3,0.0,2
3.0,-1.6965921284631365,5.50503670669829,-1.7140171986357688,5.540951636928518,0.3,0.0,2
3.1,-1.5505417386094384,5.757066983380309,-1.7731212399680367,5.732018934753639,0.3,0.0,2
3.2,-1.981749383207364,5.891353194416994,-1.8322252813003046,5.92308623257876,0.3,0.0,2
3.3000000000000003,-1.8445597168975296,6.191162491790164,-1.8913293226325725,6.114153530403882,0.3,0.0,2
3.4000000000000004,-1.9484412069096282,6.352844574162871,-1.9504333639648403,6.305220828229003,0.3,0.0,2
3.5,-2.0536686259665697,6.627001560177916,-2.0095374052971082,6.496288126054124,0.3,0.0,2
3.6,-2.0917689593191957,6.737500629003449,-2.068641446629376,6.687355423879246,0.3,0.0,2
3.7,-2.1094589556012737,6.915178426927141,-2.127745487961644,6.878422721704367,0.3,0.0,2
3.8000000000000003,-2.2279829469789103,7.022632818143955,-2.186849529293912,7.069490019529488,0.3,0.0,2
3.9000000000000004,-2.1796563894795966,7.382888084409411,-2.2459535706261797,7.26055731735461,0.3,0.0,2
4.0,-2.2330758929975887,7.4739684025132025,-2.3050576119584476,7.451624615179731,0.3,0.0,2
4.1000000000000005,-2.4265849115599,7.59578039249286,-2.3641616532907155,7.642691913004852,0.3,0.0,2
4.2,-2.3964477447801267,7.802735104855994,-2.4232656946229834,7.833759210829974,0.3,0.0,2
4.3,-2.5477370044227996,8.101265186258262,-2.4823697359552512,8.024826508655094,0.3,0.0,2
4.4,-2.6254640505813205,8.37480963730085,-2.541473777287519,8.215893806480215,0.3,0.0,2
4.5,-2.6477751731394825,8.353280273431091,-2.600577818619787,8.406961104305337,0.3,0.0,2
4.6000000000000005,-2.7243694894451504,8.57803415770731,-2.659681859952055,8.598028402130458,0.3,0.0,2
4.7,-2.7584205416836207,8.819816126029595,-2.7187859012843227,8.78909569995558,0.3,0.0,2
4.800000000000001,-2.792577052051788,9.010137535994906,-2.7778899426165906,8.9801629977807,0.3,0.0,2
4.9,-2.892272333463832,9.099967711944805,-2.8369939839488585,9.171230295605822,0.3,0.0,2
5.0,-2.8172099278327893,9.474518625534596,-2.8960980252811264,9.362297593430943,0.3,0.0,2
5.1000000000000005,-2.971288010076545,9.577511828430238,-2.9552020666133942,9.553364891256065,0.3,0.0,2
5.2,-2.9971871341069223,9.67553201425906,-3.014306107945662,9.744432189081186,0.3,0.0,2
5.300000000000001,-3.003011175009237,9.849414793690299,-3.07341014927793,9.935499486906307,0.3,0.0,2
