time,Pos_x,Pos_y,GT_x,GT_y,GT_alpha,GT_Kr,GT_v
0.1,-0.09277642024399912,-0.07294595387805006,0.0,0.0,0.3,0.0,2
0.2,-0.1755300430360063,0.06558764599528319,-0.05910404133226791,0.19106729782512122,0.3,0.0,2
0.30000000000000004,0.005914424970746873,0.445680683738665,-0.11820808266453582,0.38213459565024244,0.3,0.0,2
0.4,-0.17459422422844068,0.3926882950826307,-0.17731212399680374,0.5732018934753637,0.3,0.0,2
0.5,-0.2296361336009097,0.6442532156952242,-0.23641616532907164,0.7642691913004849,0.3,0.0,2
0.6000000000000001,-0.26220953112511164,0.8886227400581264,-0.29552020666133955,0.9553364891256061,0.3,0.0,2
0.7000000000000001,-0.3915702261114584,1.2374784647730157,-0.3546242479936075,1.1464037869507273,0.3,0.0,2
0.8,-0.2745880783830446,1.3233176927627193,-0.4137282893258754,1.3374710847758484,0.3,0.0,2
0.9,-0.47434215194613216,1.4703051101467868,-0.47283233065814334,1.5285383826009697,0.3,0.0,2
1.0,-0.5786388765973007,1.8028619356019953,-0.5319363719904112,1.719605680426091,0.3,0.0,2
1.1,-0.7052289123518914,1.9382397831006828,-0.5910404133226791,1.9106729782512124,0.3,0.0,2
1.2000000000000002,-0.7324581293484572,2.124808090449435,-0.650144454654947,2.1017402760763337,0.3,0.0,2
1.3,-0.5640704747379719,2.285019652078698,-0.7092484959872148,2.292807573901455,0.3,0.0,2
1.4000000000000001,-0.7554561003071267,2.5129053251925892,-0.7683525373194827,2.4838748717265764,0.3,0.0,2
1.5,-0.7300874824122111,2.6676384344843,-0.8274565786517506,2.6749421695516977,0.3,0.0,2
1.6,-0.9054778494384035,2.8105789031580435,-0.8865606199840185,2.866009467376819,0.3,0.0,2
1.7000000000000002,-1.05370606137173,2.973997657866594,-0.9456646613162863,3.0570767652019404,0.3,0.0,2
1.8,-0.9568772629043893,3.342264829652352,-1.0047687026485543,3.2481440630270617,0.3,0.0,2
1.9000000000000001,-1.024011289274797,3.344714899752908,-1.0638727439808222,3.439211360852183,0.3,0.0,2
2.0,-1.0801886518432795,3.8141702168820912,-1.12297678531309,3.6302786586773044,0.3,0.0,2
2.1,-1.2878492743531196,3.641464422785762,-1.182080826645358,3.8213459565024257,0.3,0.0,2
2.2,-1.156366689969365,3.919506149352157,-1.2411848679776258,4.012413254327547,0.3,0.0,2
2.3000000000000003,-1.2215956124194582,4.225266780180128,-1.3002889093098937,4.203480552152668,0.3,0.0,2
2.4000000000000004,-1.3879541845833567,4.444965627039222,-1.3593929506421616,4.39454784997779,0.3,0.0,2
2.5,-1.4487762762449934,4.586382323699645,-1.4184969919744295,4.585615147802911,0.3,0.0,2
2.6,-1.4858294342609544,4.922828065196467,-1.4776010333066973,4.776682445628032,0.3,0.0,2
2.7,-1.5656688768078408,4.985216333167164,-1.5367050746389652,4.967749743453154,0.3,0.0,2
2.8000000000000003,-1.578941833323816,5.220300382841073,-1.595809115971233,5.158817041278275,0.3,0.0,2
2.9000000000000004,-1.686698286396598,5.343989599774629,-1.654913157303501,5.349884339103396,0.3,0.0,2
3.0,-1.714198972654642,5.553875580579587,-1.7140171986357688,5.540951636928518,0.3,0.0,2
3.1,-1.7447538041695942,5.739496868088368,-1.7731212399680367,5.732018934753639,0.3,0.0,2
3.2,-1.8077332080855697,5.817723366912389,-1.8322252813003046,5.92308623257876,0.3,0.0,2
3.3000000000000003,-1.8487221947245573,5.948235986098519,-1.8913293226325725,6.114153530403882,0.3,0.0,2
3.4000000000000004,-2.0352140429449936,6.301013407196965,-1.9504333639648403,6.305220828229003,0.3,0.0,2
3.5,-1.9367193887813183,6.602692541116568,-2.0095374052971082,6.496288126054124,0.3,0.0,2
3.6,-2.0580893397350413,6.522274826776855,-2.068641446629376,6.687355423879246,0.3,0.0,2
3.7,-2.1215212417920486,6.837617822170388,-2.127745487961644,6.878422721704367,0.3,0.0,2
3.8000000000000003,-2.127899130248269,7.072403816758303,-2.186849529293912,7.069490019529488,0.3,0.0,2
3.9000000000000004,-2.2261053951220444,7.249602124034139,-2.2459535706261797,7.26055731735461,0.3,0.0,2
4.0,-2.3182496100699055,7.421286899056265,-2.3050576119584476,7.451624615179731,0.3,0.0,2
4.1000000000000005,-2.3676680192966977,7.754727590236431,-2.3641616532907155,7.642691913004852,0.3,0.0,2
4.2,-2.441744123636253,7.913650764011333,-2.4232656946229834,7.833759210829974,0.3,0.0,2
4.3,-2.3285725420025503,8.127865530226996,-2.4823697359552512,8.024826508655094,0.3,0.0,2
4.4,-2.5967838231797753,8.290164506021382,-2.541473777287519,8.215893806480215,0.3,0.0,2
4.5,-2.531881964371777,8.354303510709956,-2.600577818619787,8.406961104305337,0.3,0.0,2
4.6000000000000005,-2.5776015194691038,8.383367217778474,-2.659681859952055,8.598028402130458,0.3,0.0,2
4.7,-2.654730199370286,8.782415611312766,-2.7187859012843227,8.78909569995558,0.3,0.0,2
4.800000000000001,-2.807899598335795,9.04150137695241,-2.7778899426165906,8.9801629977807,0.3,0.0,2
4.9,-2.964598160406321,9.197406869038694,-2.8369939839488585,9.171230295605822,0.3,0.0,2
5.0,-2.855133415840767,9.299180392325633,-2.8960980252811264,9.362297593430943,0.3,0.0,2
5.1000000000000005,-3.036390845482225,9.537525699397955,-2.9552020666133942,9.553364891256065,0.3,0.0,2
5.2,-2.956505081325693,9.800691290356436,-3.014306107945662,9.744432189081186,0.3,0.0,2
5.300000000000001,-3.1693723369348525,9.86022677864072,-3.07341014927793,9.935499486906307,0.3,0.0,2
