time,Pos_x,Pos_y,GT_x,GT_y,GT_alpha,GT_Kr,GT_v,ROSE_x,ROSE_y,ROSE_alpha,ROSE_Kr,ROSE_v,EKF_x,EKF_y,EKF_alpha,EKF_Kr,EKF_v
0.1,-0.0300547216141039,0.0145262314051576,0.0,0.0,0.3,0.1,2,-0.0300547216141039,0.0145262314051576,0.0,0.0,0.0,-0.0300547216141039,0.0145262314051576,0.0,0.0,0.0
0.2,-0.126475344092209,0.1844971761925837,-0.0591040413322679,0.1910672978251212,0.32,0.1,2,-0.028411726735602456,0.022364602086219286,0.0,0.0,0.00012437547476245982,-0.028762232073174736,0.020637918539117398,0.0,0.0,9.604087205804468e-05
0.3,-0.0774018675939013,0.411776845501611,-0.1220173534554914,0.3809143814416094,0.34,0.1,2,-0.023005055918487945,0.043445185122217025,-8.310156668591644e-09,0.0,0.0009280844090675615,-0.024769073305812864,0.036108704525838024,-4.613027766171292e-09,0.0,0.0006755380443140627
0.4,-0.2425070819250149,0.5031773797271228,-0.1887147718836543,0.5694653145472787,0.36,0.1,2,-0.018189730658245,0.06665645910360052,-7.944994711412633e-08,-1.1293563515301784e-13,0.002478096394249001,-0.0213060306578566,0.05232683787168302,-4.011783462303922e-08,-4.3131163247127333e-14,0.001729724573624069
0.5,-0.3363624360613559,0.7053260983401181,-0.2591696185386724,0.7566446792828656,0.38,0.1,2,-0.01169208195994026,0.09996044268168487,-4.3619245516587727e-07,-4.665177895873574e-12,0.00587327282348395,-0.016800377839293036,0.07440936011625643,-2.016404883715976e-07,-1.5262537171159457e-12,0.0038968815552818
0.6000000000000001,-0.2901355679137869,0.9350199513433743,-0.3333537124212689,0.9423776063981676,0.4000000000000001,0.1,2,-0.0018049580054839628,0.14782510301008084,-1.9984576866660966e-06,-7.508649690941435e-11,0.012726399211228843,-0.010278939014791547,0.10463767745583355,-8.34538674316871e-07,-2.122404323266078e-11,0.00801078693202379
0.7000000000000001,-0.4247638698317064,1.0531611831802878,-0.411237380882999,1.1265898051987446,0.4200000000000001,0.1,2,0.007363368088465858,0.2006714312401156,-5.9334834131858465e-06,-5.765169316899254e-10,0.022657905939214948,-0.004175705531270738,0.13689701925406889,-2.2980218119742093e-06,-1.439856844353513e-10,0.013700120100604604
0.8,-0.5362173609703597,1.4016772133838633,-0.4927894714949131,1.3092075932612062,0.4400000000000001,0.1,2,0.019349917008106225,0.27535968633397784,-1.762250983621791e-05,-4.167037993486015e-09,0.040386084362920516,0.003632383606220438,0.18044981418025788,-6.2257776800943486e-06,-9.010721924075748e-10,0.023266297798107637
0.9,-0.4534423747552717,1.532317445183989,-0.577977364508113,1.490157925905199,0.4600000000000001,0.1,2,0.0325637294771198,0.36157787311312756,-4.473599275733833e-05,-2.1990497978061754e-08,0.0650464925151756,0.012165012860153954,0.2294183000431027,-1.456438924008828e-05,-4.1935064988868755e-09,0.03605045814802433
1.0,-0.609099774401099,1.5540536586467386,-0.666766985901217,1.6693684254103038,0.4800000000000001,0.1,2,0.041879726025339736,0.44720017376282273,-8.734568615626623e-05,-7.749740130600465e-08,0.09316741784984106,0.019014780435299822,0.27775311175073936,-2.727499477722534e-05,-1.3678673694335957e-08,0.050388689087001476
1.1,-0.7634426198861649,1.8419807732574849,-0.7591228210095136,1.8467674099661608,0.5000000000000001,0.1,2,0.050953436054572164,0.5546078305695168,-0.00017082812715716808,-2.74240207613743e-07,0.13340427963747298,0.02628007807261282,0.3365174336586139,-5.056927117294904e-05,-4.385286596675583e-08,0.07000631565778807
1.2000000000000002,-0.7825986178098283,2.0681975406051083,-0.8550079287303542,2.022283922344235,0.5200000000000001,0.1,2,0.05992343870025768,0.6834101470053019,-0.00032494651978947785,-8.881373926054841e-07,0.18683355035101665,0.034047556207938284,0.4056497705667247,-9.098453041717723e-05,-1.2917979248958254e-07,0.0952665326681347
1.3,-1.02442315283886,2.252177502923817,-0.9543839562991016,2.195847758279765,0.5400000000000001,0.1,2,0.0641617217983609,0.825603832337902,-0.0005415828409184285,-2.2994558973633756e-06,0.24979432499393267,0.04059570796675023,0.4818631460173043,-0.00014848741737694463,-3.1915864484984495e-07,0.12481383446628565
1.4,-1.1483792877948011,2.31900685487253,-1.0572111546297245,2.36738949455253,0.5600000000000002,0.1,2,0.06331499989432009,0.9723105590183878,-0.0008044064116958198,-5.010611735215632e-06,0.31692666874824904,0.04574182462521119,0.5620422766368044,-0.00022373709208218558,-6.936059171186026e-07,0.15694606884995557
1.5,-1.119347161262963,2.5670568169751364,-1.163448394213901,2.536840516755213,0.5800000000000002,0.1,2,0.06165837287505847,1.147329455418619,-0.0012516466097810622,-1.1865178641653657e-05,0.40150814241562416,0.05137933083689587,0.6569121625261194,-0.00034392302825151625,-1.5573953772790768e-06,0.19666164599131858
1.6,-1.1542128648578711,2.728379420310803,-1.2730531815722756,2.7041330467382503,0.6000000000000002,0.1,2,0.056579346362901684,1.3385026263156432,-0.0018397330388372772,-2.5082923229019094e-05,0.49544795743100434,0.056468518233446056,0.7625164240062617,-0.0005094027186721731,-3.2322029378781323e-06,0.2416184593077545
1.7000000000000002,-1.3423927974452885,2.81629419643745,-1.3859816762512829,2.869200169720186,0.6200000000000002,0.1,2,0.04454527609909191,1.5296886397945477,-0.002340952025528874,-4.228770596934872e-05,0.586922732461423,0.05977440817661982,0.8734357997766072,-0.0007012736852179753,-5.91713077716186e-06,0.2884057382015989
