time,Pos_x,Pos_y,GT_x,GT_y,GT_alpha,GT_Kr,GT_v,EKF_x,EKF_y,EKF_alpha,EKF_Kr,EKF_v
0.1,-0.1307994967414771,0.13585510338304,0.0,0.0,0.3,0.0,0.0,-0.1307994967414771,0.13585510338304,0.0,0.0,0.0
0.2,0.0299313945702684,-0.052391734483886,0.0,0.0,0.3,0.0,0.0,-0.05169458320239875,0.04139376599349061,0.0,0.0,-0.03657812980406726
0.3,-0.0106072137666533,-0.0213827795727192,0.0,0.0,0.3,0.0,0.0,-0.038046450827785454,0.015615697558541211,0.00028550766055739633,0.0,-0.06290711495815898
0.4,-0.0240893069221169,0.0032880489495474,0.0,0.0,0.3,0.0,0.0,-0.034516556661268565,0.007293800512084154,0.000566817604321967,-1.0689443536714206e-07,-0.0666802930025655
0.5,0.0033011214817585,-0.0634572754311795,0.0,0.0,0.3,0.0,0.0,-0.026748117897167387,-0.02226402654186935,0.0017619723377492874,-1.2657897205904955e-06,-0.12264508030438291
0.6000000000000001,-0.047117242814062,-0.0345078220879924,0.0,0.0,0.3,0.0,0.0,-0.030303577702989984,-0.03476419695063612,0.0004914374033871767,1.192076086663844e-06,-0.12373570316552893
0.7000000000000001,0.0582904431014889,-0.1690475493537972,0.0,0.0,0.3,0.0,0.0,-0.016594787915217013,-0.09416957572233747,0.008129870997386065,-2.326366277365177e-05,-0.24245826361002204
0.8,-0.0594131822788914,-0.0106617763027249,0.0,0.0,0.3,0.0,0.0,-0.022599222402491737,-0.0758288862439643,0.0020478910048875943,8.96385349978384e-06,-0.13717770332671703
0.9,-0.0208808654770198,-0.0600152390651001,0.0,0.0,0.3,0.0,0.0,-0.02235969851613957,-0.07769443572264374,0.002445228823176942,5.663332590447221e-06,-0.10843264818396212
1.0,-0.0605741260645647,-0.0045407367593937,0.0,0.0,0.3,0.0,0.0,-0.027160991131606745,-0.055709741446936994,-0.004604267484673434,6.814716460445575e-05,-0.030749643395596063
1.1,0.0340153330264312,0.0572793900366877,0.0,0.0,0.3,0.0,0.0,-0.020040375213431237,-0.01202764540977,0.006333568326040928,-3.9333309387500114e-05,0.08029361449964248
1.2000000000000002,-0.0454913594373949,0.0222975698364774,0.0,0.0,0.3,0.0,0.0,-0.022820147417223158,0.005905924144402445,0.0029620935672236776,-1.3707493986915253e-05,0.10328331702714248
1.3,-0.0609422014138587,0.0238781633967423,0.0,0.0,0.3,0.0,0.0,-0.026638807815536163,0.01860789855706438,-0.00011239446579252221,-2.9584970096377567e-06,0.1084742328790379
1.4,-0.0125208631512907,-0.0732595863730825,0.0,0.0,0.3,0.0,0.0,-0.025268357968567013,-0.010270814467198214,0.0008057120710065577,-4.5884937389312044e-06,0.015288739721670067
1.5,0.0868692695850125,-0.0214792684452327,0.0,0.0,0.3,0.0,0.0,-0.015110112749432122,-0.011816846876200849,0.0034287823796907337,2.8237716783902778e-05,0.009146397655760592
1.6,-0.0101267159305287,-0.0706553019078424,0.0,0.0,0.3,0.0,0.0,-0.014648333295296495,-0.03402088187325583,0.0036443693776917327,2.853831786903969e-05,-0.045228547171478846
1.7000000000000002,-0.1969609030639511,0.0277781546268437,0.0,0.0,0.3,0.0,0.0,-0.030285621847491256,-0.015833075789135058,-0.0026682319140738215,4.434283076574295e-06,0.0067638502420791086
1.8,-0.0031032469041187,-0.0340287436114255,0.0,0.0,0.3,0.0,0.0,-0.02800649360808605,-0.022016893038990414,-0.0018848348397067717,8.477482590816782e-06,-0.009150201803223797
1.9,-0.0032706294272931,-0.0494729260852465,0.0,0.0,0.3,0.0,0.0,-0.025980492474848443,-0.03280319414715861,-0.0011428992425839067,1.1163871622077037e-05,-0.032176822049127224
2.0,0.0024710760678917,0.0452974651391703,0.0,0.0,0.3,0.0,0.0,-0.023663415963409175,-0.003934888026055093,0.00013568844249487095,9.281988294852053e-06,0.04368393497418836
2.1,-0.0461618380621807,-0.0335170139094141,0.0,0.0,0.3,0.0,0.0,-0.025458689585650198,-0.013153437678206602,-0.0002920509833290205,5.684984203115865e-06,0.011478129525240202
2.2,0.0637535672380905,-0.0238902491503143,0.0,0.0,0.3,0.0,0.0,-0.01846828735213838,-0.015016560542717059,0.0007958427115799096,2.2949191828437842e-05,0.005130008899392151
2.3000000000000003,0.021052168064155,0.0995169940109374,0.0,0.0,0.3,0.0,0.0,-0.015385748918546648,0.03048222551540225,0.0011487192809985641,3.0326828016860715e-05,0.11142099542206524
2.4000000000000004,-0.0092545615833202,-0.1252376471031557,0.0,0.0,0.3,0.0,0.0,-0.014936204818398687,-0.02306147064876659,0.001171936711723618,3.201917743720314e-05,-0.04092016951338742
2.5,-0.0353782337270712,0.0820107417679839,0.0,0.0,0.3,0.0,0.0,-0.016495268491742657,0.014872977603296172,0.0016192019378740415,2.272903054088458e-05,0.05793723320521997
2.6,0.0110670200136517,-0.0105605969190992,0.0,0.0,0.3,0.0,0.0,-0.014401607739040723,0.009028550895515115,0.00027091115387110204,3.7489807684055386e-05,0.03071364439255028
2.7,-0.0562422042918169,0.0296066545987521,0.0,0.0,0.3,0.0,0.0,-0.017580453910822268,0.01815600243304203,0.002849387271861852,1.59289437943256e-05,0.04467932873621591
2.8000000000000003,0.1556838829923837,0.0023998880973574,0.0,0.0,0.3,0.0,0.0,-0.004420423283184283,0.01781079410683448,-0.011127360476224209,9.739928332723439e-05,0.03451050757960673
2.9000000000000004,0.0797865009498789,-0.0360584800677416,0.0,0.0,0.3,0.0,0.0,0.0019799593668059145,0.0005683355931037741,-0.018933852830186188,0.00013073913698841038,-0.013434480812007182
